sightingID,city,state,country,durationSec,ufoShape
3522,ardmore,ok,us,480,oval
3523,emeryville,ca,us,60,formation
3524,"lee&#39s summit",mo,us,60,triangle
3525,"pelham (valleydale exit getting onto i-65 n)",al,us,720,circle
3526,boone,nc,us,10,other
3527,ardmore,al,us,900,light
3528,"hulett (near)",wy,us,12,light
3529,baytown,tx,us,2,light
3530,boone,nc,us,30,light
3531,"east orange",nj,us,7200,formation
3532,buffalo,mn,us,7200,oval
3533,anchorage,ak,us,300,circle
3534,monterey,ca,us,15,chevron
3535,skippers,va,us,2100,light
3536,"kahnawake (canada)",qc,ca,120,other
3537,maricopa,az,us,5,triangle
3538,radcliff,ky,us,1200,circle
3539,renton,wa,us,20,diamond
3540,"rockport (aransas pass)",tx,us,10800,changing
3542,colby,ks,us,1800,sphere
3543,florence,ky,us,300,teardrop
3544,oakland,ca,us,2,sphere
3545,morris,il,us,300,formation
3546,troy,mi,us,3600,unknown
3547,"paradise valley",az,us,15,triangle
3548,"north las vegas",nv,us,3300,light
3549,"new bern",nc,us,10800,triangle
3551,lafayette,la,us,420,formation
3552,sarasota,fl,us,10,cylinder
3553,islamorada,ny,us,15,chevron
3554,stewartsville,nj,us,8,egg
3555,turner,me,us,15,sphere
3556,wyoming,mi,us,180,triangle
3557,edgewater,fl,us,2,teardrop
3558,"lindsey (canada)",on,ca,300,diamond
3559,lawrenceville,ga,us,1200,changing
3560,aurora,co,us,600,unknown
3561,stanton,mi,us,180,cigar
3562,anchorage,ak,us,30,cylinder
3563,milford,ct,us,420,circle
3564,"palm bay",fl,us,900,circle
3565,"state college",pa,us,300,circle
3566,atlanta,ga,us,2700,oval
3567,"seguin (near)",tx,us,2700,flash
3568,"tyson&#39s corner",va,us,180,circle
3569,surprise,az,us,300,triangle
3570,cleveland,oh,us,120,disk
3572,cranston,ri,us,90,unknown
3573,cottonwood,az,us,420,light
3574,"sugar land",tx,us,30,fireball
3575,milwaukee,wi,us,10,unknown
3576,"florenceville (canada)",nb,ca,300,cigar
3577,framingham,ma,us,300,other
3578,"san antonio",tx,us,60,triangle
3580,houston,tx,us,5,sphere
3581,versailles,mo,us,1800,fireball
3582,katy,tx,us,20,light
3583,"two rivers",wi,us,900,oval
3584,watertown,ma,us,600,fireball
3585,wilson,ok,us,240,light
3586,barnegat,nj,us,60,fireball
3587,oxford,pa,us,30,oval
3588,cleveland,ok,us,900,teardrop
3589,imperial,mo,us,300,diamond
3590,"twin lakes",wi,us,900,light
3591,pittsburgh,pa,us,300,disk
3592,"charleston afs",me,us,1200,unknown
3593,irvine,ca,us,900,sphere
3594,fishkill,ny,us,600,formation
3595,mexi-cali,ca,us,2700,sphere
3597,bingen,wa,us,900,fireball
3598,"santa rosa",ca,us,25,unknown
3599,"n. providence",ri,us,180,unknown
3600,farmington,mn,us,5,unknown
3601,ringgold,ga,us,120,circle
3602,"los angeles (malibu beach)",ca,us,3,sphere
3603,sedona,az,us,300,fireball
3604,"el monte",ca,us,600,circle
3605,decator,tx,us,300,triangle
3606,"wasaga beach (canada)",on,ca,20,cigar
3607,bettendorf,ia,us,60,light
3608,alhambra,ca,us,3,light
3609,tulsa,ok,us,5,chevron
3610,lewiston,ny,us,15,other
3611,"prairie city",or,us,30,cigar
3612,tracy,ca,us,20,other
3613,"san diego co. (east part)",ca,us,10800,diamond
3614,newport,or,us,7200,changing
3615,vicksburg,ms,us,120,circle
3616,kalispell,mt,us,5,chevron
3617,"sterling/troy/clinton township",mi,us,8,oval
3618,"sterling heights/troy /clintontwp",mi,us,8,oval
3619,crossville,tn,us,8,circle
3621,fairbanks,ak,us,300,unknown
3622,"san antonio",tx,us,900,light
3623,sandyville,wv,us,300,egg
3624,"easton (forks twsp.)",pa,us,420,triangle
3625,latrobe,pa,us,2,fireball
3626,howell,mi,us,3,fireball
3627,st.johns,mi,us,3,other
3628,"maple valley",wa,us,2,other
3629,northford,ct,us,23,egg
3630,"yukon (canada)",yk,ca,8,unknown
3631,kerrville,tx,us,15,circle
3632,"hanna (canada)",ab,ca,180,cigar
3633,charlotte,nc,us,120,oval
3634,"smithers (canada)",bc,ca,120,unknown
3635,mobile,al,us,15,chevron
3636,bayfield,co,us,300,triangle
3637,"goose creek",sc,us,60,diamond
3638,marlette,mi,us,3,light
3639,"pueblo west",co,us,15,other
3640,portchester,ny,us,240,triangle
3641,"east rochester",ny,us,600,unknown
3642,bristol,tn,us,600,triangle
3644,flint,mi,us,30,sphere
3645,"st. louis",mo,us,600,unknown
3646,burnsville,mn,us,120,diamond
3647,"west covina",ca,us,600,unknown
3648,louisville,ky,us,300,oval
3649,"orange beach",al,us,900,light
3651,"huntington beach",ca,us,240,light
3652,"south attleboro",ma,us,60,triangle
3653,heflin,al,us,300,circle
3654,edina,mn,us,5,formation
3655,westfield,ma,us,5400,light
3656,chicago,il,us,240,light
3657,"dividing creek",nj,us,600,circle
3658,"san marcos",tx,us,5400,diamond
3659,"toronto (canada)",on,ca,120,egg
3660,providence,ri,us,300,changing
3661,"new york city (manhattan)",ny,us,180,other
3662,strasburg,co,us,900,oval
3663,hillsborough,nj,us,300,triangle
3664,amelia,oh,us,2,unknown
3665,portland,or,us,5400,circle
3666,mckinney,tx,us,2,fireball
3667,"santa fe/los alamos",nm,us,3600,light
3668,crozet,va,us,2,other
3669,denver,co,us,30,chevron
3670,"new york city (brooklyn)",ny,us,600,changing
3671,wickenburg,az,us,240,formation
3672,joplin,mo,us,420,light
3673,"huntington beach",ca,us,600,light
3674,"huntington beach",ca,us,420,changing
3675,"new york city (manhattan)",ny,us,60,unknown
3676,metairie,la,us,30,unknown
3677,everett,wa,us,1200,light
3678,claremont,ca,us,7200,circle
3679,murrysville,pa,us,3600,light
3680,houston,tx,us,600,light
3681,cottonwood,az,us,120,triangle
3682,lubec,me,us,15,circle
3684,"va/atlantic coast (aboard usn ship)",va,us,1800,light
3685,"colorado springs",co,us,1200,triangle
3686,"avon park",fl,us,900,unknown
3687,benson,nc,us,30,other
3688,carlsbad,ca,us,300,light
3689,arlington,tx,us,300,light
3690,hockessin,de,us,120,cylinder
3691,"westminster west/ putney border",vt,us,600,disk
3692,"westminster west/ putney border",vt,us,600,disk
3693,middletown,ny,us,3600,light
3694,marshalltown,ia,us,5,triangle
3695,philadelphia,pa,us,30,egg
3696,"fort worth",tx,us,120,triangle
3697,oakland,ca,us,2,light
3698,monroe,ny,us,120,triangle
3700,jacksonville,fl,us,120,light
3701,denver,co,us,7200,light
3702,"colorado springs",co,us,60,light
3703,dandridge,tn,us,300,disk
3704,mcgill,nv,us,1200,light
3705,modesto,ca,us,3600,cylinder
3706,visalia,ca,us,5,cigar
3707,boise,id,us,3600,light
3708,"des moines",ia,us,1500,diamond
3709,galena,il,us,20,triangle
3710,orange,ca,us,120,unknown
3711,covington,ga,us,120,other
3712,pleasanton,ca,us,1800,oval
3713,oroville,wa,us,10800,sphere
3714,allentown,pa,us,10,light
3715,"desert center",ca,us,60,fireball
3716,"severn/glen burnie (bwi area)",md,us,60,triangle
3717,austin,tx,us,180,unknown
3718,"st. louis (clayton)",mo,us,15,chevron
3719,"twin lakes",wi,us,15,cigar
3720,"alligator alley",fl,us,600,triangle
3721,"san angelo",tx,us,2,flash
3722,"lake springs",mo,us,60,oval
3723,"lake springs",mo,us,60,oval
3724,"battle creek",mi,us,300,circle
3725,"mayaguez (puerto rico)",wv,us,120,circle
3726,marion,in,us,172800,unknown
3727,"new york mills",mn,us,60,light
3728,"simi valley",ca,us,180,other
3730,davis,ca,us,31,triangle
3731,yelm,wa,us,3600,light
3732,canton,il,us,5,oval
3733,sanford,nc,us,180,triangle
3734,"cedar rapids",ia,us,600,circle
3735,corona,ca,us,600,oval
3737,taylorsville,ut,us,600,circle
3738,brandon,vt,us,480,other
3739,"huntington beach",ca,us,60,oval
3740,"yucca valley",ca,us,10,sphere
3741,"maple valley",wa,us,120,chevron
3742,"chula vista",ca,us,1,circle
3743,"montana city",mt,us,10,light
3744,conover,nc,us,900,circle
3745,clinton,ia,us,600,circle
3746,anchorage,ak,us,420,formation
3747,knoxville,tn,us,8,light
3748,eden,id,us,3600,light
3749,shepherdsville,ky,us,30,fireball
3750,marshville,nc,us,10,other
3751,"upper marlboro",md,us,2,circle
3752,"san francisco",ca,us,900,sphere
3753,"las vegas",nv,us,600,cigar
3754,janesville,wi,us,3600,cigar
3755,"la habra",ca,us,10,circle
3756,meriden,ct,us,15,disk
3757,middletown,oh,us,30,fireball
3758,"sherwood/north little rock",ar,us,7200,other
3759,martinsburg,wv,us,2,light
3760,"fairfax station",va,us,20,circle
3761,canton,oh,us,180,fireball
3762,martin,mi,us,15,disk
3763,orrington,me,us,600,changing
3764,caledonia,ny,us,5,triangle
3765,philadelphia,pa,us,300,light
3766,waretown,nj,us,900,rectangle
3767,hagerstown,md,us,300,oval
3768,lakeland,fl,us,900,disk
3769,oneonta,al,us,10,circle
3770,"new york city",ny,us,120,sphere
3771,selma,nc,us,420,light
3772,portsmouth,nh,us,1200,cigar
3773,"new york city (queens)",ny,us,60,sphere
3774,"interstate 10",la,us,360,oval
3775,"green river",ut,us,660,cone
3776,fayetteville,nc,us,600,fireball
3777,"oak creek",co,us,900,unknown
3778,berkeley,ca,us,120,light
3779,bessemer,al,us,900,unknown
3780,auburn,ca,us,6,unknown
3781,milford,ca,us,5,disk
3782,silverlake,wa,us,30,light
3783,rupert,id,us,120,sphere
3784,"cincy (near&#44 rural ohio)",oh,us,900,light
3785,kenton/bellcenter,oh,us,20,disk
3786,"newtown square",pa,us,180,oval
3787,ripley,tn,us,1800,rectangle
3788,"klamath falls",or,us,3,sphere
3789,hamilton,oh,us,120,cigar
3790,irvine,ca,us,300,diamond
3791,"daytona beach",fl,us,180,changing
3792,sikeston,mo,us,6,light
3793,"san jose",ca,us,120,other
3794,oshkosh,wi,us,900,unknown
3795,turlock,ca,us,2,triangle
3796,lebanon,pa,us,45,light
3797,"cooper city",fl,us,15,other
3799,tulsa,ok,us,600,triangle
3800,puyallup,wa,us,120,diamond
3801,verona,wi,us,7,triangle
3802,"peterborough (canada)",on,ca,3,chevron
3803,denver,co,us,6,sphere
3804,"sturgeon bay",wi,us,1800,light
3805,"san francisco",ca,us,21600,cigar
3807,"st. clairsville",oh,us,900,disk
3808,"cocoa beach",fl,us,3600,fireball
3809,"london (canada)",on,ca,120,triangle
3811,rockford,il,us,120,light
3812,anchorage,ak,us,30,other
3813,"new river",az,us,60,other
3814,"murrells inlet",sc,us,1800,disk
3815,"murrells inlet",sc,us,600,disk
3816,centerton,ar,us,10,sphere
3817,cliffside,nc,us,30,sphere
3818,"skyline drive",ut,us,240,disk
3819,"houston (canada)",bc,ca,180,light
3820,dover,ar,us,18000,unknown
